Barris	Nacionalitat	Total	Genere
el Guinardo	Romania	89	Home
la Font d en Fargues	Romania	7	Home
el Carmel	Romania	74	Home
la Teixonera	Romania	26	Home
Sant Genis dels Agudells	Romania	10	Home
Montbau	Romania	6	Home
la Vall d Hebron	Romania	17	Home
la Clota	Romania	1	Home
Horta	Romania	91	Home
Vilapicina i la Torre Llobeta	Romania	45	Home
Porta	Romania	77	Home
el Turo de la Peira	Romania	38	Home
Can Peguera	Romania	1	Home
la Guineueta	Romania	41	Home
Canyelles	Romania	7	Home
les Roquetes	Romania	81	Home
Verdun	Romania	24	Home
la Prosperitat	Romania	66	Home
la Trinitat Nova	Romania	25	Home
Torre Baro	Romania	11	Home
Ciutat Meridiana	Romania	40	Home
Vallbona	Romania	0	Home
la Trinitat Vella	Romania	80	Home
Baro de Viver	Romania	9	Home
el Bon Pastor	Romania	41	Home
Sant Andreu	Romania	64	Home
la Sagrera	Romania	55	Home
el Congres i els Indians	Romania	45	Home
Navas	Romania	57	Home
el Camp del Arpa del Clot	Romania	70	Home
el Clot	Romania	52	Home
el Parcila Llacuna del Poblenou	Romania	44	Home
la Vila Olimpica del Poblenou	Romania	13	Home
el Poblenou	Romania	44	Home
Diagonal Mariel Front Maritim del Poblenou	Romania	29	Home
el Besos i el Maresme	Romania	186	Home
Provençals del Poblenou	Romania	54	Home
Sant Marti de Provençals	Romania	71	Home
la Verneda i la Pau	Romania	82	Home
el Raval	Rússia	76	Home
el Barri Gotic	Rússia	51	Home
la Barceloneta	Rússia	33	Home
Sant Pere Santa Caterina i la Ribera	Rússia	67	Home
el Fort Pienc	Rússia	27	Home
la Sagrada Familia	Rússia	69	Home
la Dreta del Eixample	Rússia	106	Home
l Antiga Esquerra del Eixample	Rússia	54	Home
la Nova Esquerra del Eixample	Rússia	75	Home
Sant Antoni	Rússia	51	Home
el Poble Sec- A E I Parc Montjuïc	Rússia	54	Home
la Marina del Prat Vermell- A E I Zona Franca	Rússia	2	Home
la Marina de Port	Rússia	33	Home
la Font de la Guatlla	Rússia	18	Home
Hostafrancs	Rússia	40	Home
la Bordeta	Rússia	18	Home
Sants- Badal	Rússia	21	Home
Sants	Rússia	30	Home
les Corts	Rússia	52	Home
la Maternitat i Sant Ramon	Rússia	23	Home
Pedralbes	Rússia	73	Home
Vallvidrerael Tibidabo i les Planes	Rússia	12	Home
Sarria	Rússia	44	Home
les Tres Torres	Rússia	20	Home
Sant Gervasi-la Bonanova	Rússia	58	Home
Sant Gervasi- Galvany	Rússia	72	Home
el Putxet i el Farro	Rússia	40	Home
Vallcarca i els Penitents	Rússia	27	Home
el Coll	Rússia	17	Home
la Salut	Rússia	22	Home
la Vila de Gracia	Rússia	39	Home
el Campden Grassot i Gracia Nova	Rússia	27	Home
el Baix Guinardo	Rússia	14	Home
Can Baro	Rússia	17	Home
el Guinardo	Rússia	54	Home
la Font d en Fargues	Rússia	4	Home
el Carmel	Rússia	56	Home
la Teixonera	Rússia	19	Home
Sant Genis dels Agudells	Rússia	16	Home
Montbau	Rússia	10	Home
la Vall d Hebron	Rússia	6	Home
la Clota	Rússia	0	Home
Horta	Rússia	16	Home
Vilapicina i la Torre Llobeta	Rússia	23	Home
Porta	Rússia	45	Home
el Turo de la Peira	Rússia	14	Home
Can Peguera	Rússia	2	Home
la Guineueta	Rússia	13	Home
Canyelles	Rússia	5	Home
les Roquetes	Rússia	28	Home
Verdun	Rússia	22	Home
la Prosperitat	Rússia	22	Home
la Trinitat Nova	Rússia	16	Home
Torre Baro	Rússia	5	Home
Ciutat Meridiana	Rússia	24	Home
Vallbona	Rússia	1	Home
la Trinitat Vella	Rússia	10	Home
Baro de Viver	Rússia	5	Home
el Bon Pastor	Rússia	12	Home
Sant Andreu	Rússia	24	Home
