Barris	TOTAL	Total_Europa	Espanya	Itàlia	França	RegneUnit	Alemanya	Romania	Rússia	Portugal	Ucraïna	PaïsosBaixos	Polònia	Bulgària	Suècia	Bèlgica	Grècia	Irlanda	Suïssa	Resta_Europa		Total_Africa	Marroc,el	Algèria	Senegal	Resta_Africa		Total_America	Colòmbia	Hondures	Perú	Veneçuela	Bolívia	Equador	Argentina	Brasil	RepúblicaDominicana	EstatsUnits,els	Mèxic	Xile	Paraguai	Cuba	ElSalvador	Uruguai	Resta_America		Total_Asia	Xina	Pakistan	Filipines	Índia	Bangladesh	Geòrgia	Armènia	Japó	Nepal	Turquia	Resta_Asia		Oceania	Apàtrides_noconsta
853.laTrinitatNova	3.968	3.246	3.110	22	0	2	2	30	27	4	38	1	0	0	0	0	0	0	0	10		90	50	8	1	31		428	41	141	34	28	34	39	3	13	35	1	1	3	25	6	10	5	9		204	27	75	0	24	0	16	58	0	0	0	4		0	0
854.TorreBaró	1.457	1.236	1.187	5	1	0	1	6	4	9	2	0	4	7	0	1	0	0	0	9		75	57	2	4	12		130	6	39	15	7	19	11	2	8	5	0	1	4	5	2	3	3	0		16	5	9	0	0	2	0	0	0	0	0	0		0	0
855.CiutatMeridiana	5.577	4.037	3.866	13	1	4	3	40	46	8	31	2	9	6	1	0	0	1	0	6		365	197	16	2	150		890	39	416	51	19	40	118	12	16	115	4	2	2	25	3	8	3	17		285	41	177	6	18	1	9	18	2	3	0	10		0	0
856.Vallbona	724	644	618	5	1	0	1	1	6	1	6	1	2	1	0	0	0	0	0	1		17	14	1	0	2		33	6	2	5	1	2	3	1	2	1	0	0	0	3	3	0	0	4		29	4	25	0	0	0	0	0	0	0	0	0		0	1
957.laTrinitatVella	5.060	3.847	3.648	24	3	4	3	66	29	9	28	7	0	4	2	6	0	0	1	13		332	256	14	2	60		458	29	77	60	17	33	73	21	21	45	3	3	6	25	7	20	6	12		423	25	278	7	32	9	40	12	1	1	1	17		0	0
958.BaródeViver	1.339	1.182	1.147	6	0	0	2	9	7	3	4	3	0	1	0	0	0	0	0	0		54	31	20	1	2		65	3	19	10	1	6	8	7	2	3	1	0	0	2	1	0	1	1		38	13	7	0	3	0	8	4	0	0	0	3		0	0
959.elBonPastor	6.660	5.731	5.524	18	12	2	13	45	24	18	35	1	9	8	0	1	1	0	4	16		107	73	7	7	20		593	81	165	50	42	80	47	11	19	24	3	5	5	17	12	16	1	15		229	72	57	7	18	4	36	30	2	1	0	2		0	0
960.SantAndreu	30.582	28.739	28.004	192	69	40	29	73	73	38	72	8	22	27	5	10	6	0	3	68		182	122	16	4	40		1.194	146	163	143	134	99	88	50	60	58	25	15	36	64	45	19	20	29		464	237	77	8	14	3	68	12	13	2	5	25		2	1
961.laSagrera	15.636	13.966	13.390	142	46	17	28	69	85	28	55	10	23	16	2	10	8	3	4	30		88	60	4	5	19		1.121	142	134	186	85	97	87	52	40	87	15	26	27	70	13	20	11	29		456	272	28	15	18	1	42	35	12	3	4	26		1	4
962.elCongrésielsIndians	7.801	6.937	6.624	82	29	6	15	36	45	11	25	3	19	12	3	3	1	4	2	17		47	36	1	1	9		587	74	100	71	61	79	39	18	10	25	7	9	11	44	16	9	2	12		228	131	11	1	6	9	41	18	1	0	2	8		1	1
